work_id,reward_type,formula_or_pseudocode,positive_reward,negative_reward,source_of_signal,granularity,applies_to,failure_modes,confidence
r1_searcher_2025,two_stage_retrieval_answer_reward,"Stage-1 final reward = retrieval reward + 0.5 format reward. Stage-2 reward = F1 answer reward + format reward, where bad format receives -2.","valid retrieval invocation, correct format, high F1 answer match","bad format, no useful retrieval, low answer F1",retrieval count/format verifier and answer F1,stage / trajectory,search agents,Format reward had to be refined to avoid reward hacking and abnormal outputs.; Retrieval reward alone can teach search invocation without answer correctness.; EM reward can shorten responses and underperform F1 reward.,medium
swirl_2025,step_wise_generative_reward,"J(theta)=E_{s in T, a~pi_theta(s)}[R(a|s)], where R(a|s) comes from a generative reward model over each step context.",high generative reward for context-aware next action,low reward for poor action/sub-trajectory,Gemini 1.5 Pro generative reward model over synthetic trajectories,step / action,multi-step reasoning and tool use,Generative reward model can be overly permissive or harsh.; Incorrect intermediate steps compound across multi-step tasks.; Offline synthetic data quality and filtering strongly affect performance.,medium
uprop_2025,uncertainty_propagation_detection,"not a training reward; UProp estimates inherited/extrinsic uncertainty from preceding decisions using trajectory-dependent decision processes.",lower propagated uncertainty can support safer continuation or human review routing,higher propagated uncertainty flags risky continuation or possible inherited error,information-theoretic uncertainty estimator over multi-step agent decisions,step / trajectory,multi-step agentic decision-making,Uncertainty estimates are diagnostic rather than directly corrective.; Mapping uncertainty to reward penalties requires calibration.; Not API/function-calling specific.,medium
hiper_2026,hierarchical_credit_assignment,"Hierarchical advantage estimation assigns credit at planner/subgoal level and executor/action level by aggregating returns over subgoal execution.",subgoals and actions that improve long-horizon return,subgoals/actions with low return or failed execution,environment returns decomposed through hierarchical policy structure,subgoal / action / trajectory,long-horizon interactive LLM agent RL,Requires meaningful subgoal decomposition.; Not specific to API transaction semantics.; Hierarchical reward can hide low-level semantic errors if subgoals are wrong.,high
elpo_2026,error_localized_policy_optimization,"Find first irrecoverable step with binary-search rollout trees; apply hierarchical advantage attribution and stronger corrective updates to the critical step and suffix.",localized correction of first irrecoverable step and successful recovery trajectory,early critical mistake and suffix actions depending on it,rollout-tree localization plus tool execution outcomes,critical step / suffix / trajectory,tool-integrated LLM reasoning,Localization quality depends on rollout tree reliability.; Not all API errors are irrecoverable or detectable by suffix failure.; Tool setting is mainly TIR/code/math/science.,high
hcapo_2026,hindsight_credit_assignment,"LLM post-hoc critic refines step-level Q-values through hindsight reasoning; multi-scale advantage supplements intermediate baselines.",steps judged useful under hindsight and successful long-horizon outcomes,steps with poor hindsight Q estimates or failed outcomes,post-hoc LLM critic plus environment outcomes,step / critical state / trajectory,long-horizon LLM agents,Post-hoc critic can introduce model bias.; Hindsight can rationalize spurious steps.; Requires enough rollout evidence for delayed reward attribution.,high
gigpo_2025,group_in_group_advantage,"Macro advantage from complete trajectory groups plus micro advantage from actions grouped by repeated anchor states across trajectories.",actions that outperform alternatives from comparable anchor states,actions that underperform comparable state-group alternatives,group-based relative advantage over trajectories and anchor-state groups,episode / step / anchor state,multi-turn LLM agent RL and search QA,Requires identifying comparable states across rollouts.; Sparse environments may have few repeated anchors.; Micro advantages can be noisy when state matching is weak.,high
rebel_belief_2026,belief_consistency_reward,"Belief-consistency supervision converts discrepancies between predicted beliefs and observed feedback into dense signals; belief-aware grouping estimates advantages under similar belief states.",beliefs consistent with later observations and successful actions under partial observability,belief drift or belief-observation mismatch,dense self-supervised belief consistency plus delayed task reward,belief state / step / trajectory,partially observable long-horizon agents,Very recent source; belief-state extraction may itself drift.; Belief consistency does not guarantee correct external action.; API-specific irreversible writes remain under-covered.,medium
agenthallu_2026,hallucination_attribution_benchmark,"not a training reward; benchmark labels hallucination presence, responsible step, and causal explanation for multi-step agent trajectories.",correctly identifies hallucinated trajectory and responsible step,misses or misattributes the silent/hallucinated step,human-curated trajectory annotations,step / trajectory,agent hallucination attribution,Attribution remains difficult and tool-use hallucinations are especially challenging.; Labels can support verifier research but are not direct reward optimization.,high
toolgate_2026,contract_verified_execution,"not a training reward; tool call is allowed only if precondition holds and state is committed only if postcondition verifies the result.",verified invocation and verified state transition,blocked precondition or failed postcondition,Hoare-style tool contracts and runtime verification,tool call / state commit,verified tool execution,Contract coverage determines what can be caught.; Open-ended semantic success still needs domain or business oracles.,high
internal_tool_hallu_2026,internal_hallucination_detector,"not a training reward; lightweight classifiers over internal representations detect tool-calling hallucinations during generation.",early detection of incorrect tool selection or parameter-level hallucination,undetected wrong tool, malformed parameter, or tool bypass,model internal representations and labeled hallucination cases,generation / call,tool selection hallucination detection,Requires access to internal model states.; Detector confidence must be calibrated before being used as a reward penalty.,medium
butterfly_toolchains_2025,parameter_failure_taxonomy,"not a training reward; failed parameter filling is categorized across tool-agent invocation chains and can be converted into verifier tests.",parameter consistency and correct argument filling,parameter name hallucination, wrong source mapping, or silent parameter mismatch,input perturbations and tool-agent failure taxonomy,parameter / call,tool-agent parameter filling,Taxonomy is diagnostic.; Reward use requires building strict parsers, consistency checks, and semantic parameter oracles.,high
reasoning_trap_2025,tool_hallucination_diagnostic,"not a training reward; SimpleToolHalluBench measures hallucinated tool calls when no tool or only distractor tools are available.",refuses unavailable tools and selects only grounded available tools,hallucinates unavailable or distractor tools,diagnostic benchmark over no-tool and distractor-tool settings,call / decision,reasoning-enhanced LLM agents,Reasoning-enhancement risk evidence, not a mitigation.; Reliability-capability trade-off requires new objectives beyond format reward.,medium
