"id","title","source_type","arxiv_id","latest_version","published","updated","abs_url","pdf_url","local_pdf","bytes","verification_source","checked_on"
"cm2_2026","CM2: Reinforcement Learning with Checklist Rewards for Multi-Turn and Multi-Step Agentic Tool Use","arxiv","2602.12268","v2","2026-02-13","2026-02-21","https://arxiv.org/abs/2602.12268","https://arxiv.org/pdf/2602.12268v2","pdf/cm2_2026.pdf","1972606","arXiv export API","2026-05-26"
"dmpo_agents_2024","Direct Multi-Turn Preference Optimization for Language Agents","arxiv","2406.14868","v5","2024-06-21","2025-02-24","https://arxiv.org/abs/2406.14868","https://arxiv.org/pdf/2406.14868v5","pdf/dmpo_agents_2024.pdf","1653290","arXiv export API","2026-05-26"
"elpo_2026","Learning from the Irrecoverable: Error-Localized Policy Optimization for Tool-Integrated LLM Reasoning","arxiv","2602.09598","v1","2026-02-10","2026-02-10","https://arxiv.org/abs/2602.09598","https://arxiv.org/pdf/2602.09598v1","pdf/elpo_2026.pdf","1437651","arXiv export API","2026-05-26"
"epo_2024","EPO: Hierarchical LLM Agents with Environment Preference Optimization","arxiv","2408.16090","v2","2024-08-29","2024-10-04","https://arxiv.org/abs/2408.16090","https://arxiv.org/pdf/2408.16090v2","pdf/epo_2024.pdf","1643689","arXiv export API","2026-05-26"
"fireact_2023","FireAct: Toward Language Agent Fine-tuning","arxiv","2310.05915","v1","2023-10-10","2023-10-10","https://arxiv.org/abs/2310.05915","https://arxiv.org/pdf/2310.05915v1","pdf/fireact_2023.pdf","785239","arXiv export API","2026-05-26"
"gigpo_2025","Group-in-Group Policy Optimization for LLM Agent Training","arxiv","2505.10978","v3","2025-05-16","2025-10-28","https://arxiv.org/abs/2505.10978","https://arxiv.org/pdf/2505.10978v3","pdf/gigpo_2025.pdf","2195797","arXiv export API","2026-05-26"
"hcapo_2026","Hindsight Credit Assignment for Long-Horizon LLM Agents","arxiv","2603.08754","v1","2026-03-07","2026-03-07","https://arxiv.org/abs/2603.08754","https://arxiv.org/pdf/2603.08754v1","pdf/hcapo_2026.pdf","929198","arXiv export API","2026-05-26"
"hiper_2026","HiPER: Hierarchical Reinforcement Learning with Explicit Credit Assignment for Large Language Model Agents","arxiv","2602.16165","v1","2026-02-18","2026-02-18","https://arxiv.org/abs/2602.16165","https://arxiv.org/pdf/2602.16165v1","pdf/hiper_2026.pdf","2210710","arXiv export API","2026-05-26"
"internal_tool_hallu_2026","Internal Representations as Indicators of Hallucinations in Agent Tool Selection","arxiv","2601.05214","v1","2026-01-09","2026-01-09","https://arxiv.org/abs/2601.05214","https://arxiv.org/pdf/2601.05214v1","pdf/internal_tool_hallu_2026.pdf","1570945","arXiv export API","2026-05-26"
"mua_rl_2025","MUA-RL: Multi-turn User-interacting Agent Reinforcement Learning for agentic tool use","arxiv","2508.18669","v1","2025-08-26","2025-08-26","https://arxiv.org/abs/2508.18669","https://arxiv.org/pdf/2508.18669v1","pdf/mua_rl_2025.pdf","1171048","arXiv export API","2026-05-26"
"r1_searcher_2025","R1-Searcher: Incentivizing the Search Capability in LLMs via Reinforcement Learning","arxiv","2503.05592","v2","2025-03-08","2025-03-18","https://arxiv.org/abs/2503.05592","https://arxiv.org/pdf/2503.05592v2","pdf/r1_searcher_2025.pdf","3670460","arXiv export API","2026-05-26"
"ragen_2025","RAGEN: Understanding Self-Evolution in LLM Agents via Multi-Turn Reinforcement Learning","arxiv","2504.20073","v2","2025-04-25","2025-05-27","https://arxiv.org/abs/2504.20073","https://arxiv.org/pdf/2504.20073v2","pdf/ragen_2025.pdf","1811298","arXiv export API","2026-05-26"
"react_2022","ReAct: Synergizing Reasoning and Acting in Language Models","arxiv","2210.03629","v3","2022-10-06","2023-03-10","https://arxiv.org/abs/2210.03629","https://arxiv.org/pdf/2210.03629v3","pdf/react_2022.pdf","633805","arXiv export API","2026-05-26"
"reasoning_trap_2025","The Reasoning Trap: How Enhancing LLM Reasoning Amplifies Tool Hallucination","arxiv","2510.22977","v2","2025-10-27","2026-04-18","https://arxiv.org/abs/2510.22977","https://arxiv.org/pdf/2510.22977v2","pdf/reasoning_trap_2025.pdf","6462975","arXiv export API","2026-05-26"
"rebel_belief_2026","Rewarding Beliefs, Not Actions: Consistency-Guided Credit Assignment for Long-Horizon Agents","arxiv","2605.20061","v1","2026-05-20","2026-05-20","https://arxiv.org/abs/2605.20061","https://arxiv.org/pdf/2605.20061v1","pdf/rebel_belief_2026.pdf","3296336","arXiv export API","2026-05-26"
"reflexion_2023","Reflexion: Language Agents with Verbal Reinforcement Learning","arxiv","2303.11366","v4","2023-03-21","2023-10-10","https://arxiv.org/abs/2303.11366","https://arxiv.org/pdf/2303.11366v4","pdf/reflexion_2023.pdf","591097","arXiv export API","2026-05-26"
"retool_2025","ReTool: Reinforcement Learning for Strategic Tool Use in LLMs","arxiv","2504.11536","v2","2025-04-16","2025-04-18","https://arxiv.org/abs/2504.11536","https://arxiv.org/pdf/2504.11536v2","pdf/retool_2025.pdf","1409501","arXiv export API","2026-05-26"
"rlaif_api_code_2024","Applying RLAIF for Code Generation with API-usage in Lightweight LLMs","arxiv","2406.20060","v1","2024-06-29","2024-06-29","https://arxiv.org/abs/2406.20060","https://arxiv.org/pdf/2406.20060v1","pdf/rlaif_api_code_2024.pdf","481054","arXiv export API","2026-05-26"
"search_r1_2025","Search-R1: Training LLMs to Reason and Leverage Search Engines with Reinforcement Learning","arxiv","2503.09516","v5","2025-03-13","2025-08-06","https://arxiv.org/abs/2503.09516","https://arxiv.org/pdf/2503.09516v5","pdf/search_r1_2025.pdf","645723","arXiv export API","2026-05-26"
"swe_bench_2023","SWE-bench: Can Language Models Resolve Real-World GitHub Issues?","arxiv","2310.06770","v3","2023-10-11","2024-11-12","https://arxiv.org/abs/2310.06770","https://arxiv.org/pdf/2310.06770v3","pdf/swe_bench_2023.pdf","4533722","arXiv export API","2026-05-26"
"swirl_2025","Synthetic Data Generation & Multi-Step RL for Reasoning & Tool Use","arxiv","2504.04736","v2","2025-04-07","2025-04-28","https://arxiv.org/abs/2504.04736","https://arxiv.org/pdf/2504.04736v2","pdf/swirl_2025.pdf","1311894","arXiv export API","2026-05-26"
"task_reasoning_grpo_2025","Training Task Reasoning LLM Agents for Multi-turn Task Planning via Single-turn Reinforcement Learning","arxiv","2509.20616","v2","2025-09-25","2025-12-09","https://arxiv.org/abs/2509.20616","https://arxiv.org/pdf/2509.20616v2","pdf/task_reasoning_grpo_2025.pdf","595613","arXiv export API","2026-05-26"
"tau_bench_2024","$τ$-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains","arxiv","2406.12045","v1","2024-06-18","2024-06-18","https://arxiv.org/abs/2406.12045","https://arxiv.org/pdf/2406.12045v1","pdf/tau_bench_2024.pdf","663224","arXiv export API","2026-05-26"
"toolace_2024","ToolACE: Winning the Points of LLM Function Calling","arxiv","2409.00920","v2","2024-09-02","2025-07-25","https://arxiv.org/abs/2409.00920","https://arxiv.org/pdf/2409.00920v2","pdf/toolace_2024.pdf","836845","arXiv export API","2026-05-26"
"toolformer_2023","Toolformer: Language Models Can Teach Themselves to Use Tools","arxiv","2302.04761","v1","2023-02-10","2023-02-10","https://arxiv.org/abs/2302.04761","https://arxiv.org/pdf/2302.04761v1","pdf/toolformer_2023.pdf","657966","arXiv export API","2026-05-26"
"toolgate_2026","ToolGate: Contract-Grounded and Verified Tool Execution for LLMs","arxiv","2601.04688","v1","2026-01-08","2026-01-08","https://arxiv.org/abs/2601.04688","https://arxiv.org/pdf/2601.04688v1","pdf/toolgate_2026.pdf","3414267","arXiv export API","2026-05-26"
"toolllm_toolbench_2023","ToolLLM: Facilitating Large Language Models to Master 16000+ Real-world APIs","arxiv","2307.16789","v2","2023-07-31","2023-10-03","https://arxiv.org/abs/2307.16789","https://arxiv.org/pdf/2307.16789v2","pdf/toolllm_toolbench_2023.pdf","2048075","arXiv export API","2026-05-26"
"toolprmbench_2026","ToolPRMBench: Evaluating and Advancing Process Reward Models for Tool-using Agents","arxiv","2601.12294","v1","2026-01-18","2026-01-18","https://arxiv.org/abs/2601.12294","https://arxiv.org/pdf/2601.12294v1","pdf/toolprmbench_2026.pdf","1883463","arXiv export API","2026-05-26"
"toolrl_2025","ToolRL: Reward is All Tool Learning Needs","arxiv","2504.13958","v1","2025-04-17","2025-04-17","https://arxiv.org/abs/2504.13958","https://arxiv.org/pdf/2504.13958v1","pdf/toolrl_2025.pdf","2475493","arXiv export API","2026-05-26"
"tora_2023","ToRA: A Tool-Integrated Reasoning Agent for Mathematical Problem Solving","arxiv","2309.17452","v4","2023-09-30","2024-02-21","https://arxiv.org/abs/2309.17452","https://arxiv.org/pdf/2309.17452v4","pdf/tora_2023.pdf","1127603","arXiv export API","2026-05-26"
"turn_level_credit_assignment_2025","Reinforcing Multi-Turn Reasoning in LLM Agents via Turn-Level Reward Design","arxiv","2505.11821","v2","2025-05-17","2025-10-23","https://arxiv.org/abs/2505.11821","https://arxiv.org/pdf/2505.11821v2","pdf/turn_level_credit_assignment_2025.pdf","2367271","arXiv export API","2026-05-26"
"uprop_2025","UProp: Investigating the Uncertainty Propagation of LLMs in Multi-Step Agentic Decision-Making","arxiv","2506.17419","v1","2025-06-21","2025-06-21","https://arxiv.org/abs/2506.17419","https://arxiv.org/pdf/2506.17419v1","pdf/uprop_2025.pdf","1018077","arXiv export API","2026-05-26"
"webarena_2023","WebArena: A Realistic Web Environment for Building Autonomous Agents","arxiv","2307.13854","v4","2023-07-26","2024-04-16","https://arxiv.org/abs/2307.13854","https://arxiv.org/pdf/2307.13854v4","pdf/webarena_2023.pdf","9128123","arXiv export API","2026-05-26"
"xlam_2024","xLAM: A Family of Large Action Models to Empower AI Agent Systems","arxiv","2409.03215","v1","2024-09-05","2024-09-05","https://arxiv.org/abs/2409.03215","https://arxiv.org/pdf/2409.03215v1","pdf/xlam_2024.pdf","1479686","arXiv export API","2026-05-26"
